Country,Region,Subregion,Current female head of state,Names of elected and appointed female heads of state or governments with dates,Names of elected and appointed female heads of state or governments since 1946,Number of elected and appointed female heads of state or governments since 1946,Percentage of ministerial positions held by women,Rank of ministerial positions held by women,Percentage of seats held by women in the national legislature,Rank of seats held by women in the national legislature,Percentage of female candidates in the most recent elections to the national legislature,Rank of female candidates in the most recent elections to the national legislature,Percentage of elected seats held by women in local government bodies,Rank of elected seats held by women in local government bodies,Political parity score,Political parity score rank
Afghanistan,Asia and the Pacific,South Asia,, ,,0,6.45,169,27.22,69,16.26,71,16.53,94,16.7,135
Albania,Europe,Southeastern Europe,, ,,0,56.25,1,29.51,56,40.25,20,43.61,14,57.3,15
Algeria,Middle East and North Africa,North Africa,, ,,0,14.71,127,21.23,108,32.13,33,17.59,89,22.5,103
Andorra,Europe,Western Europe,, ,,0,50,1,46.43,9,46.21,4,35.8,25,65.7,7
Angola,Sub-Saharan Africa,Southern Africa,, ,,0,31.82,48,29.55,56,-1,-1,-1,-1,29.5,73
Antigua and Barbuda,Americas,Caribbean,, ,,0,15.38,122,31.43,51,-1,-1,66.67,1,41,40
Argentina,Americas,South America,,"Isabel Martinez de Peron (July 1, 1974 to March 24, 1976), Cristina Fernandez de Kirchner (December 10, 2007 to December 9, 2015)","Isabel Martinez de Peron, Cristina Fernandez de Kirchner",2,18.18,105,41.95,18,-1,-1,-1,-1,36.4,56
Armenia,Europe,Caucasus,, ,,0,0,182,22.73,98,32.13,33,9.04,117,17.3,130
Australia,Asia and the Pacific,Australasia and Pacific,,"Julia Gillard (June 24, 2010 to June 27, 2013)",Julia Gillard,1,26.67,73,37.89,30,34.28,29,33.92,32,41,40
Austria,Europe,Western Europe,,"Brigitte Bierlein (June 3, 2019 to January 7, 2020)",Brigitte Bierlein,1,57.14,1,40.57,19,-1,-1,23.09,78,49.8,22
Azerbaijan,Europe,Caucasus,, ,,0,0,182,18.18,131,21,61,35,28,20.5,115
Bahamas,Americas,Caribbean,, ,,0,6.67,166,21.82,103,-1,-1,-1,-1,11.7,160
Bahrain,Middle East and North Africa,Middle East,, ,,0,4.55,175,18.75,126,13.7,79,13.33,104,11.8,158
Bangladesh,Asia and the Pacific,South Asia,Sheikh Hasina,"Khaleda Zia (February 27, 1991 to March 30, 1996), Sheikh Hasina (June 12, 1996 to July 15, 2001), Khaleda Zia (October 1, 2001 to October 29, 2006), Sheikh Hasina (January 6, 2009 to Incumbent)","Khaleda Zia, Sheikh Hasina (current) ",2,7.69,163,20.92,111,-1,-1,25.21,74,31.3,67
Barbados,Americas,Caribbean,Mia Mottley,"Mia Mottley (May 25, 2018 to Incumbent)",Mia Mottley (current),1,31.58,50,29.41,59,27.41,47,-2,-2,32.4,65
Belarus,Europe,Eastern Europe,, ,,0,3.57,179,34.71,38,-1,-1,48.2,4,37.5,49
Belgium,Europe,Western Europe,,"Sophie Wilmes (October 27, 2019 to October 1, 2020)",Sophie Wilmes,1,57.14,1,42.86,15,-1,-1,39.03,22,60.1,13
Belize,Americas,Central America,, ,,0,11.11,141,19.57,123,14.77,76,30.96,44,19.8,117
Benin,Sub-Saharan Africa,West Africa,, ,,0,20.83,94,8.43,173,8.43,93,4.65,122,9.9,171
Bhutan,Asia and the Pacific,South Asia,, ,,0,10,151,15.28,144,7.44,97,10.62,111,9.8,173
Bolivia,Americas,South America,, ,,0,22.22,85,48.19,7,-1,-1,50.47,1,55.4,18
Bosnia and Herzegovina,Europe,Southeastern Europe,, ,,0,18.75,101,24.56,88,-1,-1,18.59,84,19.6,120
Botswana,Sub-Saharan Africa,Southern Africa,, ,,0,15.79,118,10.77,164,5.71,101,12.67,106,10.3,169
Brazil,Americas,South America,,"Dilma Rousseff (January 1, 2011 to May 12, 2016)",Dilma Rousseff,1,10.53,144,14.81,145,31.63,38,13.51,102,19.7,119
Brunei,Asia and the Pacific,South Asia,, ,,0,0,182,9.09,169,-1,-1,-2,-2,3.3,190
Bulgaria,Europe,Southeastern Europe,, ,,0,38.89,32,27.08,70,25.84,50,27.15,57,34.6,62
Burkina Faso,Sub-Saharan Africa,West Africa,, ,,0,15.38,122,6.3,178,-1,-1,12.68,106,9.9,171
